,BAC
2003-06-23,116419804480
2003-06-24,115881930640
2003-06-25,117495552160
2003-06-26,119019528040
2003-06-27,118959764280
2003-06-30,117777741120
2003-07-01,119208240000
2003-07-02,119804281200
2003-07-03,119208240000
2003-07-07,120549332700
2003-07-08,121413592440
2003-07-09,121979831580
2003-07-10,121592404799
2003-07-11,123499736640
2003-07-14,124363996379
2003-07-15,124423600500
2003-07-16,123350726340
2003-07-17,121473196560
2003-07-18,123887163420
2003-07-21,122456664540
2003-07-22,123976569600
2003-07-23,124214986080
2003-07-24,122128841879
2003-07-25,124483204620
2003-07-28,123440132520
2003-07-29,123499736640
2003-07-30,123320924280
2003-07-31,123052705740
2003-08-01,120310916220
2003-08-04,121592404799
2003-08-05,118910219400
2003-08-06,120102301799
2003-08-07,120012895620
2003-08-08,121115571840
2003-08-11,120132103860
2003-08-12,121324186260
2003-08-13,120370520340
2003-08-14,121324186260
2003-08-15,121443394500
2003-08-18,120817551240
2003-08-19,121026165660
2003-08-20,121771217160
2003-08-21,120698343000
2003-08-22,116794273140
2003-08-25,115721398980
2003-08-26,116079023700
2003-08-27,115691596920
2003-08-28,116675064900
2003-08-29,118105563780
2003-09-02,118343980260
2003-09-03,116228034000
2003-09-04,113605452720
2003-09-05,113456442420
2003-09-08,114708128940
2003-09-09,113426640360
2003-09-10,111578912640
2003-09-11,112651786799
2003-09-12,113009411520
2003-09-15,114737931000
2003-09-16,115691596920
2003-09-17,116198231940
2003-09-18,118761209100
2003-09-19,118045959660
2003-09-22,117122095799
2003-09-23,117807543180
2003-09-24,116824075200
2003-09-25,116973085500
2003-09-26,117420116400
2003-09-29,117300908160
2003-09-30,112389540120
2003-10-01,114088920660
2003-10-02,114060117600
2003-10-03,114578572680
2003-10-06,115874710379
2003-10-07,115730695080
2003-10-08,115701892020
2003-10-09,116191544040
2003-10-10,116825211360
2003-10-13,117718106220
2003-10-14,118812622500
2003-10-15,118178955180
2003-10-16,117977333760
2003-10-17,117660500100
2003-10-20,117257257260
2003-10-21,116681196060
2003-10-22,116709999120
2003-10-23,117775712340
2003-10-24,117890924580
2003-10-27,105966457740
2003-10-28,104929547580
2003-10-29,107089777080
2003-10-30,108270702540
2003-10-31,109077188220
2003-11-03,109451628000
2003-11-04,108789157620
2003-11-05,109739658600
2003-11-06,110661356520
2003-11-07,109653249420
2003-11-10,108904369860
2003-11-11,108731551500
2003-11-12,109192400459
2003-11-13,108616339260
2003-11-14,107608232160
2003-11-17,107406610740
2003-11-18,106513715879
2003-11-19,107118580140
2003-11-20,106571322000
2003-11-21,107089777080
2003-11-24,107867459700
2003-11-25,108097884180
2003-11-26,108702748440
2003-11-28,108616339260
2003-12-01,109970083080
2003-12-02,110344522860
2003-12-03,108673945379
2003-12-04,108702748440
2003-12-05,108184293360
2003-12-08,109451628000
2003-12-09,108616339260
2003-12-10,108875566799
2003-12-11,109307612700
2003-12-12,109250006580
2003-12-15,110056492260
2003-12-16,111611857500
2003-12-17,112159115640
2003-12-18,113628071700
2003-12-19,113772087000
2003-12-22,113858496180
2003-12-23,114232935959
2003-12-24,114146526780
2003-12-26,114636178799
2003-12-29,115644285900
2003-12-30,115932316500
2003-12-31,115817104260
2004-01-02,113916102299
2004-01-05,114232935959
2004-01-06,114060117600
2004-01-07,113772087000
2004-01-08,113858496180
2004-01-09,112850389080
2004-01-12,113052010500
2004-01-13,112763979900
2004-01-14,114146526780
2004-01-15,113311238040
2004-01-16,113800890060
2004-01-20,115327452240
2004-01-21,117890924580
2004-01-22,117660500100
2004-01-23,117055635840
2004-01-26,118438182720
2004-01-27,118092546000
2004-01-28,115932316500
2004-01-29,116537180760
2004-01-30,117314863379
2004-02-02,117458878680
2004-02-03,117372469500
2004-02-04,117660500100
2004-02-05,118092546000
2004-02-06,119187062280
2004-02-09,117631697040
2004-02-10,117545287860
2004-02-11,118092546000
2004-02-12,117574090920
2004-02-13,117487681740
2004-02-17,117890924580
2004-02-18,117487681740
2004-02-19,117199651140
2004-02-20,117142045020
2004-02-23,118092546000
2004-02-24,117314863379
2004-02-25,117689303160
2004-02-26,118092546000
2004-02-27,117977333760
2004-03-01,118294167420
2004-03-02,118812622500
2004-03-03,118985440860
2004-03-04,118265364360
2004-03-05,119158259220
2004-03-08,118726213320
2004-03-09,117775712340
2004-03-10,115212240000
2004-03-11,114578572680
2004-03-12,115673088959
2004-03-15,114348148200
2004-03-16,115385058360
2004-03-17,115874710379
2004-03-18,115327452240
2004-03-19,115010618580
2004-03-22,113397647220
2004-03-23,113109616620
2004-03-24,112792782959
2004-03-25,114837800220
2004-03-26,115356255299
