,MTG
2004-05-10,7039207953
2004-05-11,7051018705
2004-05-12,7010665303
2004-05-13,7003775698
2004-05-14,6957516921
2004-05-17,6878778577
2004-05-18,6831535571
2004-05-19,6865983596
2004-05-20,6864999367
2004-05-21,6864015138
2004-05-24,6851220157
2004-05-25,6859093991
2004-05-26,6992949176
2004-05-27,7192747724
2004-05-28,7184873890
2004-06-01,7172078909
2004-06-02,7219321915
2004-06-03,7278375673
2004-06-04,7343334807
2004-06-07,7371877457
2004-06-08,7376798603
2004-06-09,7350224412
2004-06-10,7362035164
2004-06-14,7401404336
2004-06-15,7379751291
2004-06-16,7368924769
2004-06-17,7436836590
2004-06-18,7399435877
2004-06-21,7353177100
2004-06-22,7381719750
2004-06-23,7357114017
2004-06-24,7310855240
2004-06-25,7376798603
2004-06-28,7324634450
2004-06-29,7425025839
2004-06-30,7423703902
2004-07-01,7371837792
2004-07-02,7242661821
2004-07-06,7224068310
2004-07-07,7165351960
2004-07-08,7105657004
2004-07-09,7148715661
2004-07-12,7204496194
2004-07-13,7578323624
2004-07-14,7458933712
2004-07-15,7315078654
2004-07-16,7148715661
2004-07-19,7036175989
2004-07-20,7088042099
2004-07-21,6921679106
2004-07-22,6899171172
2004-07-23,6907978624
2004-07-26,6860026938
2004-07-27,6850240880
2004-07-28,6845347850
2004-07-29,6845347850
2004-07-30,6948101464
2004-08-02,6949080069
2004-08-03,6938315405
2004-08-04,6920700500
2004-08-05,6739658420
2004-08-06,6449012485
2004-08-09,6490113930
2004-08-10,6654519712
2004-08-11,6576231244
2004-08-12,6479349266
2004-08-13,6467605996
2004-08-16,6493049748
2004-08-17,6678984858
2004-08-18,6703450004
2004-08-19,6723022120
2004-08-20,6795438952
