,MMI
2018-01-02,1265505150
2018-01-03,1253385700
2018-01-04,1237356750
2018-01-05,1251821900
2018-01-08,1252994750
2018-01-09,1233056300
2018-01-10,1207253600
2018-01-11,1235792950
2018-01-12,1212726900
2018-01-16,1201389350
2018-01-17,1223673500
2018-01-18,1209599300
2018-01-19,1231101550
2018-01-22,1209990250
2018-01-23,1223282550
2018-01-24,1255731400
2018-01-25,1252603800
2018-01-26,1265896100
2018-01-29,1253776650
2018-01-30,1264332300
2018-01-31,1276451750
2018-02-01,1284661700
2018-02-02,1249476200
2018-02-05,1199043650
2018-02-06,1199825550
2018-02-07,1193179400
2018-02-08,1172850000
2018-02-09,1181059950
2018-02-12,1202562200
2018-02-13,1209208350
2018-02-14,1240093400
2018-02-15,1228755850
2018-02-16,1242439100
2018-02-20,1236965800
2018-02-21,1232665350
2018-02-22,1223673500
2018-02-23,1247130500
2018-02-26,1251821900
2018-02-27,1240484350
2018-02-28,1223673500
2018-03-01,1233056300
2018-03-02,1227973950
2018-03-05,1233447250
2018-03-06,1249085250
2018-03-07,1281925050
2018-03-08,1301863500
2018-03-09,1401555750
2018-03-12,1409765700
2018-03-13,1411329500
2018-03-14,1405465250
2018-03-15,1409374750
2018-03-16,1398037200
2018-03-19,1391391050
2018-03-20,1397646250
2018-03-21,1397255300
2018-03-22,1412502350
2018-03-23,1373016400
2018-03-26,1408592850
2018-03-27,1402728600
2018-03-28,1403510500
2018-03-29,1409765700
2018-04-02,1406411680
2018-04-03,1397014720
2018-04-04,1402104740
2018-04-05,1386051600
2018-04-06,1359818419
2018-04-09,1377437720
2018-04-10,1391533160
2018-04-11,1395448560
2018-04-12,1379395419
2018-04-13,1365691520
2018-04-16,1367649220
2018-04-17,1379786960
2018-04-18,1400930120
2018-04-19,1397406260
2018-04-20,1382136200
2018-04-23,1375088480
2018-04-24,1373522320
2018-04-25,1341024500
2018-04-26,1339066800
2018-04-27,1348463760
2018-04-30,1337500639
2018-05-01,1342982200
2018-05-02,1349246840
2018-05-03,1355903020
2018-05-04,1370390000
2018-05-07,1368040760
2018-05-08,1380961580
2018-05-09,1457703419
2018-05-10,1443607980
2018-05-11,1450264160
2018-05-14,1466708840
2018-05-15,1470624240
2018-05-16,1473756560
2018-05-17,1472581940
2018-05-18,1469841160
2018-05-21,1478846580
2018-05-22,1479238120
2018-05-23,1475714260
2018-05-24,1480804280
2018-05-25,1483153520
2018-05-29,1472190400
2018-05-30,1473756560
2018-05-31,1466708840
2018-06-01,1455745720
2018-06-04,1469449620
2018-06-05,1496074340
2018-06-06,1506645919
2018-06-07,1503905139
2018-06-08,1500381280
2018-06-11,1514868260
2018-06-12,1496857419
2018-06-13,1490592780
2018-06-14,1504296680
2018-06-15,1525048300
2018-06-18,1538752200
2018-06-19,1520349820
2018-06-20,1551673020
2018-06-21,1563419220
2018-06-22,1572424639
2018-06-25,1521915980
2018-06-26,1546974540
2018-06-27,1518783660
2018-06-28,1533662180
2018-06-29,1527397540
2018-07-02,1564112809
2018-07-03,1555098880
2018-07-05,1593506059
2018-07-06,1590370780
2018-07-09,1601736170
2018-07-10,1598208980
2018-07-11,1592722240
2018-07-12,1591938420
2018-07-13,1586059770
2018-07-16,1586059770
2018-07-17,1588019320
2018-07-18,1593897970
2018-07-19,1589195050
2018-07-20,1582532580
2018-07-23,1578221570
2018-07-24,1584884040
2018-07-25,1591938420
2018-07-26,1613885380
2018-07-27,1585275950
2018-07-30,1566072360
2018-07-31,1575870110
2018-08-01,1563720900
2018-08-02,1554315059
2018-08-03,1546868770
2018-08-06,1551963600
2018-08-07,1562545170
