,ELV
2005-03-29,37265248492
2005-03-30,38119205918
2005-03-31,38112165201
2005-04-01,37893269548
2005-04-04,38525634766
2005-04-05,38653323896
2005-04-06,38738449983
2005-04-07,39121517374
2005-04-08,38762771722
2005-04-11,38586439113
2005-04-12,38799254331
2005-04-13,38428347809
2005-04-14,37394673897
2005-04-15,36847434766
2005-04-18,36123863027
2005-04-19,36519091288
2005-04-20,35576623897
2005-04-21,36020495636
2005-04-22,35807680419
2005-04-25,36567734766
2005-04-26,35886726071
2005-04-27,37838545635
2005-04-28,37789902157
2005-04-29,38841817374
2005-05-02,39243126070
2005-05-03,39516745635
2005-05-04,39875491287
2005-05-05,40361926069
2005-05-06,40720671721
2005-05-09,41346956504
2005-05-10,41164543460
2005-05-11,40988210851
2005-05-12,40848360852
2005-05-13,40088306504
2005-05-16,40672028243
2005-05-17,41042934765
2005-05-18,40678108678
2005-05-19,40513936939
2005-05-20,40465293460
2005-05-23,40842280417
2005-05-24,41079417373
2005-05-25,40805797808
2005-05-26,40817958678
2005-05-27,40738913026
2005-05-31,40434891287
2005-06-01,40501776069
2005-06-02,41128060851
2005-06-03,41590173895
2005-06-06,41225347808
2005-06-07,41176704330
2005-06-08,40562580417
2005-06-09,41991482590
2005-06-10,41225347808
2005-06-13,41650978243
2005-06-14,42429273894
2005-06-15,42076608677
2005-06-16,41766506503
2005-06-17,42344147807
2005-06-20,42350228242
2005-06-21,42398871720
2005-06-22,42550882590
2005-06-23,41796908677
2005-06-24,41462484764
2005-06-27,41085497808
2005-06-28,41644897808
2005-06-29,42356308677
2005-06-30,42493664748
2005-07-01,42603499034
2005-07-05,42926899986
2005-07-06,42634008558
2005-07-07,42658416177
2005-07-08,43170976177
2005-07-11,43451663795
2005-07-12,42798759986
2005-07-13,42316709510
2005-07-14,41614990463
2005-07-15,42042123796
2005-07-18,42023818082
2005-07-19,41541767606
2005-07-20,41187857130
2005-07-21,40711908558
2005-07-22,40894965701
2005-07-25,40858354272
2005-07-26,41669907606
2005-07-27,40943780939
2005-07-28,43018428558
2005-07-29,43164874272
2005-08-01,44403560938
2005-08-02,44769675224
2005-08-03,45129687604
2005-08-04,44318134271
2005-08-05,43274708557
2005-08-08,43036734272
2005-08-09,43842185700
2005-08-10,44653739033
2005-08-11,44714758081
