,Log-Normal kappa=2
2013-08-16,-0.0006793924180719874
2013-08-19,-0.0018484380477099467
2013-08-20,-0.0023986715472368025
2013-08-21,-0.001519106079365847
2013-08-22,0.0036870632724436718
2013-08-23,0.006767425308983041
2013-08-26,-0.005250194189512827
2013-08-27,-0.012648555006787196
2013-08-28,0.003234718356506875
2013-08-29,-6.73160354999443e-05
2013-08-30,-0.0021048620209796923
2013-09-03,-0.0008763514156726896
2013-09-04,0.006683081733362903
2013-09-05,-0.0006997160226204039
2013-09-06,0.0009885712654148537
2013-09-09,0.009874442015796786
2013-09-10,-0.0008970379596122934
2013-09-11,-0.0090199657649682
2013-09-12,-0.0006597453448412721
2013-09-13,-0.0018476462061551501
2013-09-16,-0.004329038977036813
2013-09-17,0.0030952484340468775
2013-09-18,0.011836872284081324
2013-09-19,0.0019800607893630034
2013-09-20,-0.005987549612842486
2013-09-23,0.006588423559655379
2013-09-24,-0.005987913447543837
2013-09-25,-0.006245430358027529
2013-09-26,0.002663434187723303
2013-09-27,-0.0023076618963546605
2013-09-30,-0.007083609357912372
2013-10-01,0.00824794093887174
2013-10-02,0.001643472067316887
2013-10-03,-0.008916149745983783
2013-10-04,0.001886495212018862
2013-10-07,-0.0036244746262207666
2013-10-08,-0.007816663599026429
2013-10-09,0.0038618435280608513
2013-10-10,0.01344589686693129
2013-10-11,0.006891690376039223
2013-10-14,0.005306460225371754
2013-10-15,-0.0007371788055092615
2013-10-16,0.01047970876337099
2013-10-17,0.004561988446128699
2013-10-18,0.015088601769188173
2013-10-21,0.004521959027864305
2013-10-22,0.0029228189622788614
2013-10-23,0.0014348305073085775
2013-10-24,0.004457100417544785
2013-10-25,-0.0008447982411065793
2013-10-28,0.00438523940000254
2013-10-29,-0.002447478350999458
2013-10-30,0.0020557664941076746
2013-10-31,-0.003132419923128826
2013-11-01,-0.000312685898652339
2013-11-04,0.00827666605857557
2013-11-05,-6.1872270071392e-05
2013-11-06,0.007691213812291196
2013-11-07,-0.01399562718798115
2013-11-08,0.014928988245204238
2013-11-11,-0.0009121357825534548
2013-11-12,-0.0017349643637664415
2013-11-13,0.006158796162123971
2013-11-14,0.008843515303176858
2013-11-15,0.0012140623150505847
2013-11-18,-0.005885572715393023
2013-11-19,0.0012184292004823868
2013-11-20,-0.0036175581330031865
2013-11-21,0.009348930485134717
2013-11-22,0.002072511752375125
2013-11-25,0.00646057235003245
2013-11-26,0.005357602143695721
2013-11-27,0.010189750034727715
2013-11-29,0.007351514506838864
2013-12-02,-0.004511012745418236
2013-12-03,0.012389282392871856
2013-12-04,-5.870220378313522e-06
2013-12-05,-0.004334497457064565
2013-12-06,0.002316127271356883
2013-12-09,0.008420197269102817
2013-12-10,-0.003240033713305197
2013-12-11,-0.009349592178156538
2013-12-12,-0.0050633122072316974
2013-12-13,-0.007828382298241673
2013-12-16,0.006201575537257747
2013-12-17,-0.007206253200242586
2013-12-18,0.009209147184826759
2013-12-19,-0.006483992469812056
2013-12-20,0.006177533054089553
2013-12-23,0.01890665583350415
2013-12-24,0.00017101098887201555
2013-12-26,0.0019873035288218714
2013-12-27,-0.002417083981587006
2013-12-30,-0.007225118054660785
2013-12-31,0.007381898213680359
2014-01-02,-0.010806744834397902
2014-01-03,-0.008924799035677928
2014-01-06,0.0021509410812315718
2014-01-07,0.004156940223006037
2014-01-08,-0.0005268260057836032
2014-01-09,-0.006652421827945521
2014-01-10,-0.002352549169935572
2014-01-13,-0.006793535486621056
2014-01-14,0.014789380955644514
2014-01-15,0.0120609956729319
2014-01-16,-0.002726748588969441
2014-01-17,-0.012500799773833032
2014-01-21,0.005972486583098316
2014-01-22,-0.00024314314664266345
2014-01-23,-0.0030528940154670755
2014-01-24,-0.016910645966042973
2014-01-27,-0.0024978209661690983
2014-01-28,-0.025043695747489957
2014-01-29,-0.009779758651977137
2014-01-30,0.003852270352238444
2014-01-31,0.0009197498321314291
2014-02-03,-0.017831469672828625
2014-02-04,0.005747027024740698
2014-02-05,0.0010279203353202031
2014-02-06,0.01097632172047791
2014-02-07,0.012409114765766324
2014-02-10,0.006007788353495814
2014-02-11,0.014638826245495522
2014-02-12,-0.0010593587610427016
2014-02-13,0.008562486675534624
2014-02-14,0.005943488037458565
2014-02-18,-5.548506716243778e-05
2014-02-19,-0.008192719730808436
2014-02-20,-0.0006072259857869905
2014-02-21,-0.004690834223688065
2014-02-24,0.004918606481766815
2014-02-25,-0.0030348575229895924
2014-02-26,-0.0022815107602464323
2014-02-27,0.007071785075850144
2014-02-28,0.0023241929133195043
2014-03-03,-0.006329654400394987
2014-03-04,0.012168824428288738
2014-03-05,-0.0032225553741945757
2014-03-06,0.001378561204572017
2014-03-07,0.0026347717471075878
2014-03-10,0.0009155202706469449
2014-03-11,-0.001349245163701797
2014-03-12,0.0038223655160819344
2014-03-13,-0.009919651151084539
2014-03-14,-0.008587873232321753
2014-03-17,0.0103086322576809
2014-03-18,0.010665937795833693
2014-03-19,-0.006189193988837539
2014-03-20,0.007208489477007709
2014-03-21,0.0022096182376092326
2014-03-24,0.0034573413154425324
2014-03-25,0.006281362518457751
2014-03-26,-0.010281595937505295
2014-03-27,-0.0014016200939871765
2014-03-28,0.0052948645274570084
2014-03-31,0.00443329339861056
