,Equally-Weighted
2019-11-27,0.00289812761639068
2019-11-29,-0.00282978598675113
2019-12-02,-0.006080898851327888
2019-12-03,-0.0070329943273418905
2019-12-04,0.007404487632372942
2019-12-05,0.002398298724661181
2019-12-06,0.008488832827286552
2019-12-09,-0.0024543525809572874
2019-12-10,-0.0012627250355742607
2019-12-11,0.0013038743466235432
2019-12-12,0.008662209251877094
2019-12-13,0.0015769433486187865
2019-12-16,0.007154136093083305
2019-12-17,0.0009889883553036672
2019-12-18,-0.0037194579856479884
2019-12-19,0.004043616395960416
2019-12-20,0.003575134235181804
2019-12-23,-0.00017216526746010658
2019-12-24,0.0001474567248069587
2019-12-26,0.00795726981295092
2019-12-27,0.00015484667793839188
2019-12-30,-0.007035013689805855
2019-12-31,0.0025186237435595076
2020-01-02,0.01029548069761374
2020-01-03,-0.009526303973765665
2020-01-06,0.003777510946261247
2020-01-07,-0.00585259775055617
2020-01-08,0.0059457925371507086
2020-01-09,0.007100915847606601
2020-01-10,-0.0015779047007805696
2020-01-13,0.004257919780755952
2020-01-14,-0.004224468852007574
2020-01-15,0.0015535569380221506
2020-01-16,0.008936464056598098
2020-01-17,0.004770901271856371
2020-01-21,0.0004192732041628215
2020-01-22,0.002335045409994155
2020-01-23,-0.0008641726022074191
2020-01-24,-0.005096214005627081
2020-01-27,-0.01551769866496266
2020-01-28,0.011159039658353121
2020-01-29,-0.0012031137481532648
2020-01-30,0.007609778129160327
2020-01-31,-0.01640506483936541
2020-02-03,0.008421274564017445
2020-02-04,0.010493378769862711
2020-02-05,0.009424775647343517
2020-02-06,0.003429088556378557
2020-02-07,-0.0036482969937323213
2020-02-10,0.007675797021978112
2020-02-11,-0.0019820635405767076
2020-02-12,0.0048005154386738125
2020-02-13,-0.0008632874762747515
2020-02-14,0.002038423734418444
2020-02-18,-0.0034494154006348885
2020-02-19,0.005876498101473111
2020-02-20,-0.003968541234776508
2020-02-21,-0.01012544156593911
2020-02-24,-0.03637124773633766
2020-02-25,-0.02907655441565545
2020-02-26,-0.004734820487336762
2020-02-27,-0.046550081899066155
2020-02-28,-0.005815897366008672
2020-03-02,0.052373896666484836
2020-03-03,-0.03161692649466829
2020-03-04,0.043291931050906056
2020-03-05,-0.03193110621529108
2020-03-06,-0.015023161471630962
2020-03-09,-0.06947943343323011
2020-03-10,0.05033124883615895
2020-03-11,-0.043409453332072356
2020-03-12,-0.09181570385664721
2020-03-13,0.10254693603751283
2020-03-16,-0.11036874829726495
2020-03-17,0.061611397232754654
2020-03-18,-0.039264020493066265
2020-03-19,-0.0037786190859188675
2020-03-20,-0.051675472901617996
2020-03-23,-0.021701951760348906
2020-03-24,0.08280377447265427
2020-03-25,0.006322865225718411
2020-03-26,0.057109620635102075
2020-03-27,-0.037655737397161326
2020-03-30,0.037940269816894495
2020-03-31,-0.019396011425904892
2020-04-01,-0.035420278643114554
2020-04-02,0.03012560083611372
2020-04-03,-0.012072977791673718
2020-04-06,0.06665186668220911
2020-04-07,-0.006097820062199962
2020-04-08,0.02756457890667547
2020-04-09,0.010748032431084903
2020-04-13,-0.005604251559631456
2020-04-14,0.031855984727775316
2020-04-15,-0.017583503263675207
2020-04-16,0.004873487109769002
2020-04-17,0.021571317073221873
2020-04-20,-0.0206025557326179
2020-04-21,-0.027694385776734567
2020-04-22,0.022435609444987153
2020-04-23,0.0013485091886850686
2020-04-24,0.010842878148195931
2020-04-27,0.01337783360124151
2020-04-28,-0.01068033835739226
2020-04-29,0.02866235570377597
2020-04-30,-0.006569768203172333
2020-05-01,-0.022207990240466532
2020-05-04,0.0012965240479451802
2020-05-05,0.008988176007421373
2020-05-06,-0.005161764750900551
2020-05-07,0.0059892236378402
2020-05-08,0.016420444729846606
2020-05-11,0.0007734274568615913
